Submission_Time,Author,Affiliation,Model_Name,Weighted_Error,Test_1: All_Cells,Test_2: Blind_Cells,Test_3: Non-Blinded_Cells,Test_4: Charging,Test_5: 80kg_Payload,Test_5-6: 448kg_Payload_with_HVAC,Test_5-6: 448kg_Payload_no_HVAC,Test_5: 1000kg_Payload,Test_7: Standard_Cycles,Test_8: Custom_Cycles,Test_9: n20C,Test_9: n10C,Test_9: 0C,Test_9: 10C,Test_9: 25C,Test_9: 40C,Test_10: iSOC_Error,Test_11: Current_Sensor_Error,All_Drive_Cycles_Average_RMSE,All_Drive_Cycles_Average_MAE,All_Drive_Cycles_Average_MAXE,Complexity,Submission_ID,Position
16/12/2024 10:31,Phillip Kollmeyer,McMaster University,"Recurrent Neural Network LSTM",2.726,2.763,2.43,2.874,1.869,2.182,2.43,3.469,2.97,2.427,3.435,3.341,2.112,1.955,1.828,1.648,2.211,2.251,4.145,2.763,2.181,10.559,"8,9,10",8,1
16/12/2024 10:26,Atjen von Liebenstein,University of Technology Eindhoven,"Forward Neural Network",4.269,4.228,3.96,4.318,3.18,4.086,3.96,4.391,4.475,2.902,6.88,6.549,4.78,3.607,3.964,2.424,3.194,4.19,4.752,4.228,3.321,13.994,"8,9,10",7,2
16/12/2024 10:21,Atjen von Liebenstein,University of Technology Eindhoven,"Extended Kalman Filter, Third-order Thevenin ECM",5.044,1.919,1.899,1.926,5.076,1.881,1.899,1.976,1.92,1.482,2.793,3.345,2.15,3.12,1.34,0.557,0.775,16.124,15.412,1.919,1.672,3.135,"8,9,10",6,3
16/12/2024 11:27,Atjen von Liebenstein,University of Technology Eindhoven,"Coulomb Counter with OCV-SOC reading",6.684,2.18,2.115,2.202,5.027,2.217,2.115,2.356,2.033,1.992,2.558,2.797,2.96,3.154,2.419,1.26,0.714,21.858,24.472,2.18,1.841,3.726,"1,2,3",4,4
17/09/2025 17:39,Ahnaf Rahman,McMaster University,"Extended Kalman Filter",10.946,11.483,11.991,11.314,10.71,11.467,11.991,9.955,12.52,9.341,15.766,29.552,16.855,11.46,4.074,2.926,3.934,7.796,8.449,11.483,9.585,24.596,"10,11,12",8,5
03/10/2025 17:31,Ahnaf Akif,McMaster University,"Coulomb Counter-Updated",12.59,2.356,2.258,2.389,58.835,2.446,2.258,2.487,2.233,2.121,2.826,3.553,3.471,3.429,2.482,1.23,0.509,31.25,19.052,2.356,2.034,3.916,"0,1,2",10,6
17/09/2025 14:29,Ahnaf Rahman,McMaster University,"Coulomb Counter",12.631,2.402,2.3,2.436,58.835,2.479,2.3,2.541,2.288,2.168,2.871,3.575,3.501,3.473,2.541,1.315,0.472,31.305,19.095,2.402,2.072,3.996,"0,1,2",7,7
16/12/2024 10:14,Phillip Kollmeyer,McMaster University,"Coulomb Counter",15.366,2.402,2.3,2.436,80.767,2.479,2.3,2.541,2.288,2.168,2.871,3.575,3.501,3.473,2.541,1.315,0.472,31.35,24.47,2.402,2.072,3.996,"0,1,2",5,8
17/09/2025 14:01,Ahnaf Rahman,McMaster University,"Coulomb Counter",52.764,50.743,50.594,50.793,58.835,50.613,50.594,51.078,50.688,49.452,53.325,41.993,45.048,51.289,52.238,55.233,57.875,61.69,50.787,50.743,43.947,84.844,"0,1,2",6,9
17/09/2025 20:15,Ahnaf,McMaster,"Forward Neural Network",85.619,76.055,74.87,76.45,164.407,75.6,74.87,77.264,76.486,75.084,77.998,68.053,39.75,99.267,122.852,68.346,55.333,90.306,69.36,76.055,59.96,209.096,"8,9,10",8,10
